"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2018","-2.632745009","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2018","-.574663511","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2018","2.022945449","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2018","-2.002686292","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2018","-1.831981528","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2018","2.327867386","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2018","-.768256359","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2018","-1.165988483","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2018","-1.899994783","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2018","-3.817651815","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2017","-4.074734519","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2017",".525126618","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2017","1.636021139","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2017","-.654893474","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2017","-1.196696442","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2017","-1.070498371","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2017","-1.34455326","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2017","-.64761395","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2017",".723123244","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2017",".618479324","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2017","-.572276705","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2017","-.5117194","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2016",".766962236","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2016","1.671086387","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2016","1.599773658","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2016",".209262774","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2016","-.909529789","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2016","1.69260864","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2016","1.03524408","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2016",".168646714","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2016",".237958318","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2016","-1.012548369","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","29-Feb-2016","-1.491014942","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2016","1.039849613","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2015",".439665203","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2015","1.057704057","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2015","-.270836108","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2015","-1.336443003","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2015",".949082752","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2015",".999336741","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2015",".96665465","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2015","-.325683607","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2015","-.004855077","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2015","1.024644487","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2015","-.242254974","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2015","1.895249782","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2014",".996669321","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2014","1.504562843","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2014",".667700297","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2014","-.933107058","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2014","-.610775723","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2014","1.293628662","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2014",".941123915","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2014","-1.543613995","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2014","3.314724108","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2014","5.426090067","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2014",".206515265","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2014","2.166534276","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2013","-1.234195839","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2013",".587099799","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2013",".041056497","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2013","-3.123045544","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2013","-1.322144582","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2013",".459532249","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2013",".320749413","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2013",".464466704","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2013",".037515292","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2013","1.159632589","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2013","-.214543325","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2013","","Percent","Missing value",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2012","-1.657582187","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2012","-.325015369","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2012","-.972119224","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2012","-1.222667199","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2012","-.190486999","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2012","-.191984999","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2012","-1.791154901","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2012","1.542939421","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2012","1.604482569","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2012","1.11520528","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","29-Feb-2012","-1.719021912","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2012",".538863","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2011","-2.524247471","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2011",".547904702","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2011","2.487397866","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2011","1.810930183","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2011",".089448722","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2011",".865995515","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2011",".113629569","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2011","-.726861514","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2011",".43331538","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2011","-.108554181","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2011","-1.39933138","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2011",".334869722","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2010",".349764397","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2010","1.646520871","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2010","-2.223771959","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2010",".624829258","Percent","Normal",""
