"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,
"Lithuania","946","Intensive Margin","within_theil","Value","2.69954078717865","2.64431142807007","2.60632918906867","2.1553795337677",
"Lithuania","946","Export Diversification Index","total_theil","Value","2.7504103","2.690146","2.6555171","2.2012141",
"Luxembourg","137","Extensive Margin","between_theil","Value","0.0542449876666069","0.0593235492472416","0.0542451068758965","0.0542449876666069",
"Luxembourg","137","Intensive Margin","within_theil","Value","2.0864474773407","2.07501814136879","2.07450127601623","2.00960087776184",
"Luxembourg","137","Export Diversification Index","total_theil","Value","2.1406925","2.1343417","2.1287463","2.0638459",
"Latvia","941","Extensive Margin","between_theil","Value","0.0609506274339484","0.0593251734962581","0.0593231692632074","0.0576290786266327",
"Turkey","186","Export Diversification Index","total_theil","Value","1.8054969","1.7915237","1.7589029","1.8115044",
"Tuvalu","869","Extensive Margin","between_theil","Value","0.0051414892077446","0.005141369998455","0.0076824055433558","0.0051414892077446",
"Tuvalu","869","Intensive Margin","within_theil","Value","5.10656499862671","4.85514450073242","5.52040386199951","4.43543910980225",
"Tuvalu","869","Export Diversification Index","total_theil","Value","5.1117063","4.8602858","5.5280862","4.4405804",
"Tanzania","738","Extensive Margin","between_theil","Value","0.0032840627245605","0.0081803370180777","0.0032840627245605","0.0032840627245605",
"Tanzania","738","Intensive Margin","within_theil","Value","2.58072209358215","2.42800712852477","2.64569211006165","2.59520673751831",
"Armenia, Republic of","911","Extensive Margin","between_theil","Value","0.156546966283713","0.159148869140894","0.158474830812395","0.151753500103951",
"Armenia, Republic of","911","Intensive Margin","within_theil","Value","3.02107853302732","2.7613443486407","3.08024467225186","3.26667881011963",
"Armenia, Republic of","911","Export Diversification Index","total_theil","Value","3.1776254","2.9204931","3.2387195","3.4184322",
"Niger","692","Intensive Margin","within_theil","Value","5.67853790974914","5.13991326838732","4.80113980326496","5.19121700525284",
"Niger","692","Export Diversification Index","total_theil","Value","5.8358822","5.152493","5.0400901","5.2105722",
"Nigeria","694","Extensive Margin","between_theil","Value","0.769857002189165","0.781316815046011","0.772082634124672","0.776672815234633",
"Nigeria","694","Intensive Margin","within_theil","Value","4.79832349094643","4.83922279762262","5.00344159640372","4.84378968179226",
"Nigeria","694","Export Diversification Index","total_theil","Value","5.5681806","5.6205397","5.7755241","5.6204624",
"Nicaragua","278","Extensive Margin","between_theil","Value","0.0531527211769145","0.0690277949989557","0.0138694265753356","0.0182990878820419",
"Nicaragua","278","Intensive Margin","within_theil","Value","3.1573167690658","3.09639119639905","3.3166811466217","3.35155749320984",
"Nicaragua","278","Export Diversification Index","total_theil","Value","3.2104695","3.1654191","3.3305507","3.3698566",
"Netherlands","138","Extensive Margin","between_theil","Value","0.0225828780737576","0.0226159007589803","0.0224210910955094","0.0222810591239409",
"Netherlands","138","Intensive Margin","within_theil","Value","1.88366217818111","2.22102415812697","1.98432562479866","1.92895874643",
