"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2014","984.49","986.41","989.55","982.77","","-0.06%"
"12/01/2014","985.08","1,001.43","1,001.43","985.08","","-1.95%"
"11/28/2014","1,004.72","1,010.88","1,010.96","1,002.86","","-0.78%"
"11/27/2014","1,012.62","1,014.09","1,017.61","1,010.45","","0.06%"
"11/26/2014","1,011.97","1,009.27","1,013.31","1,008.71","","0.28%"
"11/25/2014","1,009.10","1,010.87","1,011.10","1,006.74","","-0.21%"
"11/24/2014","1,011.23","1,006.51","1,015.45","1,006.21","","0.69%"
"11/21/2014","1,004.35","991.04","1,004.92","990.82","","1.44%"
"11/20/2014","990.10","988.18","990.80","987.99","","0.02%"
"11/19/2014","989.91","989.65","990.28","986.23","","0.13%"
"11/18/2014","988.66","985.34","989.27","983.61","","0.28%"
"11/17/2014","985.88","990.59","994.29","984.30","","-0.50%"
"11/14/2014","990.81","989.73","991.56","986.44","","-0.19%"
"11/13/2014","992.72","995.62","997.08","991.19","","-0.34%"
"11/12/2014","996.06","994.03","998.49","992.14","","0.24%"
"11/11/2014","993.69","995.76","997.79","992.20","","-0.40%"
"11/10/2014","997.66","990.27","1,000.18","990.27","","1.01%"
"11/07/2014","987.65","988.16","989.36","984.02","","-0.37%"
"11/06/2014","991.32","997.73","999.25","988.07","","-0.71%"
"11/05/2014","998.44","1,008.42","1,008.88","995.60","","-0.86%"
"11/04/2014","1,007.11","1,008.78","1,010.86","1,004.97","","-0.32%"
"11/03/2014","1,010.37","1,014.15","1,014.15","1,007.39","","-0.56%"
"10/31/2014","1,016.07","1,008.33","1,016.28","1,007.23","","0.85%"
"10/30/2014","1,007.54","1,000.49","1,008.09","997.98","","0.26%"
"10/29/2014","1,004.88","995.22","1,007.29","994.65","","1.24%"
"10/28/2014","992.54","978.89","993.88","978.06","","1.51%"
"10/27/2014","977.80","984.53","986.49","974.42","","-0.67%"
"10/24/2014","984.38","982.27","986.84","978.39","","0.27%"
"10/23/2014","981.75","985.97","986.44","980.79","","-0.54%"
"10/22/2014","987.09","982.39","988.94","981.33","","0.54%"
"10/21/2014","981.78","981.73","983.44","977.58","","0.03%"
"10/20/2014","981.50","979.34","988.25","979.15","","0.49%"
"10/17/2014","976.76","971.03","978.52","967.89","","0.63%"
"10/16/2014","970.65","981.09","981.49","965.93","","-1.22%"
"10/15/2014","982.60","991.71","993.60","977.95","","-0.96%"
"10/14/2014","992.08","992.81","997.27","989.36","","0.06%"
"10/13/2014","991.49","986.11","994.98","982.05","","0.16%"
"10/10/2014","989.87","1,007.45","1,007.45","988.21","","-1.83%"
"10/09/2014","1,008.33","1,003.63","1,013.57","1,003.63","","0.96%"
"10/08/2014","998.76","1,009.20","1,009.96","996.29","","-1.20%"
"10/07/2014","1,010.86","1,011.45","1,012.95","1,008.70","","0.05%"
"10/06/2014","1,010.32","997.83","1,012.50","996.72","","1.31%"
"10/03/2014","997.27","992.66","998.65","990.57","","0.48%"
"10/02/2014","992.53","995.05","995.52","989.13","","-0.43%"
"10/01/2014","996.86","1,004.73","1,004.73","995.41","","-0.84%"
"09/30/2014","1,005.33","1,009.09","1,009.20","1,002.51","","-0.41%"
"09/29/2014","1,009.43","1,024.33","1,024.33","1,007.99","","-1.41%"
"09/26/2014","1,023.91","1,023.70","1,025.34","1,020.26","","-0.17%"
"09/25/2014","1,025.63","1,037.41","1,038.45","1,024.40","","-0.93%"
"09/24/2014","1,035.31","1,031.22","1,037.32","1,030.63","","0.24%"
"09/23/2014","1,032.79","1,038.18","1,038.74","1,031.34","","-0.72%"
"09/22/2014","1,040.29","1,054.22","1,054.46","1,037.53","","-1.29%"
"09/19/2014","1,053.92","1,056.60","1,059.14","1,053.17","","-0.23%"
"09/18/2014","1,056.37","1,059.23","1,059.60","1,054.03","","-0.57%"
"09/17/2014","1,062.39","1,056.20","1,064.86","1,056.20","","0.79%"
"09/16/2014","1,054.07","1,056.12","1,059.71","1,050.83","","-0.16%"
"09/15/2014","1,055.78","1,060.98","1,060.98","1,052.92","","-0.54%"
"09/12/2014","1,061.53","1,069.43","1,069.77","1,060.55","","-0.74%"
"09/11/2014","1,069.43","1,074.43","1,075.30","1,068.48","","-0.54%"
"09/10/2014","1,075.22","1,084.38","1,084.39","1,071.94","","-1.13%"
"09/09/2014","1,087.54","1,093.20","1,093.28","1,083.89","","-0.68%"
"09/08/2014","1,094.99","1,097.42","1,100.29","1,092.74","","-0.17%"
"09/05/2014","1,096.83","1,098.85","1,099.17","1,094.75","","-0.31%"
"09/04/2014","1,100.23","1,101.80","1,104.31","1,098.81","","-0.07%"
"09/03/2014","1,100.98","1,086.84","1,102.18","1,086.49","","1.31%"
"09/02/2014","1,086.73","1,089.54","1,089.71","1,083.37","","-0.35%"
"09/01/2014","1,090.57","1,088.30","1,093.02","1,087.50","","0.25%"
"08/29/2014","1,087.88","1,087.40","1,088.39","1,085.40","","0.08%"
"08/28/2014","1,086.98","1,095.57","1,097.86","1,086.64","","-0.62%"
"08/27/2014","1,093.74","1,088.89","1,095.48","1,088.89","","0.55%"
"08/26/2014","1,087.77","1,085.32","1,088.71","1,084.89","","0.23%"
"08/25/2014","1,085.29","1,082.41","1,085.29","1,079.71","","0.20%"
"08/22/2014","1,083.07","1,081.26","1,086.51","1,081.17","","0.11%"
"08/21/2014","1,081.93","1,083.34","1,083.34","1,077.40","","-0.29%"
"08/20/2014","1,085.08","1,085.39","1,085.58","1,082.36","","0.06%"
"08/19/2014","1,084.45","1,078.42","1,084.45","1,078.29","","0.69%"
"08/18/2014","1,077.07","1,076.73","1,077.54","1,073.55","","0.24%"
"08/15/2014","1,074.51","1,072.85","1,076.49","1,071.85","","0.20%"
"08/14/2014","1,072.37","1,070.53","1,073.65","1,068.50","","0.14%"
"08/13/2014","1,070.87","1,064.40","1,073.40","1,063.66","","0.61%"
"08/12/2014","1,064.42","1,062.73","1,064.70","1,062.24","","0.28%"
"08/11/2014","1,061.41","1,048.88","1,062.15","1,048.73","","-1.22%"
"08/08/2014","1,074.51","1,049.18","1,074.89","1,041.98","","2.22%"
"08/07/2014","1,051.22","1,057.14","1,058.11","1,048.94","","-0.53%"
"08/06/2014","1,056.77","1,061.58","1,061.61","1,053.93","","-0.60%"
"08/05/2014","1,063.11","1,069.44","1,069.95","1,061.30","","-0.58%"
"08/04/2014","1,069.30","1,059.28","1,070.05","1,059.28","","0.86%"
"08/01/2014","1,060.13","1,063.58","1,064.76","1,054.24","","-0.53%"
"07/31/2014","1,065.77","1,077.91","1,078.46","1,064.30","","-1.20%"
"07/30/2014","1,078.75","1,079.91","1,084.59","1,076.97","","-0.17%"
"07/29/2014","1,080.54","1,079.97","1,083.18","1,079.44","","0.12%"
"07/28/2014","1,079.24","1,078.07","1,082.55","1,078.07","","0.05%"
"07/25/2014","1,078.69","1,080.65","1,080.86","1,076.75","","-0.20%"
"07/24/2014","1,080.85","1,078.19","1,080.85","1,077.09","","0.29%"
"07/23/2014","1,077.70","1,075.02","1,079.75","1,074.65","","0.30%"
"07/22/2014","1,074.48","1,063.87","1,075.12","1,063.87","","1.06%"
"07/21/2014","1,063.26","1,064.21","1,066.38","1,061.28","","0.00%"
"07/18/2014","1,063.26","1,058.33","1,064.24","1,054.80","","0.06%"
"07/17/2014","1,062.59","1,066.73","1,067.91","1,059.07","","-0.40%"
"07/16/2014","1,066.83","1,066.71","1,068.39","1,064.09","","0.05%"
"07/15/2014","1,066.35","1,064.84","1,068.17","1,064.74","","0.25%"
"07/14/2014","1,063.66","1,059.29","1,064.00","1,058.70","","0.47%"
"07/11/2014","1,058.67","1,061.30","1,061.30","1,056.04","","-0.35%"
"07/10/2014","1,062.37","1,061.77","1,065.27","1,058.73","","0.14%"
"07/09/2014","1,060.93","1,064.35","1,064.37","1,059.16","","-0.36%"
"07/08/2014","1,064.73","1,064.03","1,066.98","1,063.49","","0.04%"
"07/07/2014","1,064.33","1,062.41","1,065.15","1,061.35","","0.18%"
"07/04/2014","1,062.40","1,063.96","1,064.23","1,061.65","","0.02%"
"07/03/2014","1,062.18","1,059.66","1,063.56","1,057.10","","0.15%"
"07/02/2014","1,060.57","1,052.60","1,061.32","1,052.24","","0.87%"
"07/01/2014","1,051.39","1,049.82","1,052.99","1,049.13","","0.06%"
"06/30/2014","1,050.78","1,046.73","1,051.61","1,046.73","","0.44%"
"06/27/2014","1,046.18","1,046.90","1,048.52","1,045.46","","-0.06%"
"06/26/2014","1,046.81","1,041.99","1,048.37","1,041.99","","0.48%"
"06/25/2014","1,041.78","1,046.47","1,046.61","1,041.75","","-0.61%"
"06/24/2014","1,048.14","1,042.99","1,049.76","1,042.98","","0.56%"
"06/23/2014","1,042.33","1,045.12","1,048.20","1,040.60","","-0.15%"
"06/20/2014","1,043.86","1,049.11","1,049.11","1,043.26","","-0.58%"
"06/19/2014","1,049.94","1,047.93","1,051.05","1,047.81","","0.51%"
"06/18/2014","1,044.57","1,042.26","1,047.67","1,039.75","","0.10%"
"06/17/2014","1,043.53","1,045.67","1,047.69","1,042.19","","-0.26%"
"06/16/2014","1,046.28","1,049.79","1,049.79","1,045.38","","-0.27%"
"06/13/2014","1,049.14","1,053.98","1,053.98","1,048.18","","-0.53%"
"06/12/2014","1,054.74","1,056.30","1,056.30","1,052.91","","-0.12%"
"06/11/2014","1,056.04","1,057.74","1,058.24","1,054.90","","-0.15%"
"06/10/2014","1,057.59","1,049.62","1,057.99","1,049.40","","0.82%"
"06/09/2014","1,048.96","1,045.36","1,049.23","1,044.80","","0.39%"
"06/06/2014","1,044.93","1,036.84","1,044.95","1,036.35","","0.96%"
"06/05/2014","1,034.98","1,032.24","1,037.24","1,029.87","","0.37%"
"06/04/2014","1,031.19","1,034.75","1,035.06","1,029.88","","-0.46%"
"06/03/2014","1,035.95","1,028.75","1,035.95","1,027.28","","0.63%"
"06/02/2014","1,029.50","1,027.40","1,030.19","1,026.79","","0.18%"
"05/30/2014","1,027.69","1,038.69","1,040.21","1,027.25","","-1.05%"
"05/29/2014","1,038.64","1,039.37","1,040.06","1,036.87","","0.04%"
"05/28/2014","1,038.23","1,032.89","1,039.08","1,032.82","","0.52%"
"05/27/2014","1,032.88","1,042.12","1,042.49","1,032.09","","-0.86%"
"05/26/2014","1,041.84","1,041.93","1,043.26","1,039.89","","-0.10%"
"05/23/2014","1,042.92","1,040.63","1,043.54","1,040.38","","0.17%"
"05/22/2014","1,041.19","1,032.66","1,041.43","1,032.65","","0.92%"
"05/21/2014","1,031.66","1,029.24","1,033.45","1,028.09","","0.17%"
"05/20/2014","1,029.91","1,035.35","1,036.55","1,029.37","","-0.53%"
"05/19/2014","1,035.43","1,032.44","1,036.30","1,031.33","","0.34%"
"05/16/2014","1,031.95","1,027.71","1,032.78","1,024.57","","0.28%"
"05/15/2014","1,029.10","1,033.30","1,035.22","1,027.21","","-0.30%"
"05/14/2014","1,032.24","1,023.34","1,033.50","1,023.34","","0.96%"
"05/13/2014","1,022.44","1,016.41","1,023.93","1,016.41","","0.65%"
"05/12/2014","1,015.81","1,008.26","1,015.84","1,006.24","","0.88%"
"05/09/2014","1,006.95","1,009.12","1,009.40","1,006.90","","-0.19%"
"05/08/2014","1,008.85","1,006.17","1,011.28","1,004.55","","0.43%"
"05/07/2014","1,004.50","1,004.94","1,005.61","999.80","","0.06%"
"05/06/2014","1,003.93","999.48","1,005.88","999.42","","0.29%"
"05/05/2014","1,001.01","1,003.01","1,004.19","998.76","","-0.24%"
"05/02/2014","1,003.39","996.53","1,003.67","996.20","","0.74%"
